#x_m,y_m,w_tr
-38.653277,-2.957582,1.731719
-38.692142,-2.907951,1.712624
-38.728661,-2.857348,1.731719
-38.763429,-2.806020,1.752953
-38.799797,-2.755355,1.712624
-38.840420,-2.706452,1.731719
-38.881043,-2.657549,1.712624
-38.915811,-2.606221,1.752953
-38.950580,-2.554892,1.752953
-38.989452,-2.505264,1.731719
-39.030075,-2.456361,1.731719
-39.068226,-2.406435,1.752953
-39.102994,-2.355107,1.731719
-39.137762,-2.303778,1.712624
-39.178385,-2.254875,1.712624
-39.219008,-2.205973,1.693528
-39.254656,-2.155009,1.752953
-39.289424,-2.103681,1.731719
-39.326664,-2.053376,1.712624
-39.364807,-2.003446,1.731719
-39.399575,-1.952118,1.731719
-39.434343,-1.900790,1.693528
-39.469112,-1.849462,1.712624
-39.503000,-1.797770,1.693528
-39.537768,-1.746441,1.731719
-39.572536,-1.695113,1.731719
-39.609784,-1.644812,1.712624
-39.647920,-1.594879,1.731719
-39.682688,-1.543551,1.731719
-39.717456,-1.492223,1.712624
-39.758079,-1.443320,1.712624
-39.792847,-1.391992,1.693528
-39.827615,-1.340664,1.731719
-39.862383,-1.289336,1.712624
-39.899639,-1.239038,1.712624
-39.937766,-1.189101,1.731719
-39.972535,-1.137773,1.731719
-40.007303,-1.086445,1.712624
-40.047926,-1.037542,1.712624
-40.082694,-0.986214,1.693528
-40.117462,-0.934886,1.731719
-40.152230,-0.883558,1.712624
-40.185350,-0.831547,1.712624
-40.220118,-0.780219,1.731719
-40.254886,-0.728891,1.712624
-40.288007,-0.676880,1.712624
-40.322775,-0.625552,1.731719
-40.357543,-0.574224,1.731719
-40.392311,-0.522896,1.731719
-40.431223,-0.473284,1.712624
-40.467694,-0.422662,1.731719
-40.502463,-0.371333,1.731719
-40.538878,-0.320688,1.693528
-40.577846,-0.271099,1.712624
-40.612614,-0.219771,1.731719
-40.647382,-0.168443,1.731719
-40.682150,-0.117115,1.731719
-40.721069,-0.067506,1.712624
-40.757533,-0.016881,1.731719
-40.792302,0.034448,1.731719
-40.828725,0.085090,1.712624
-40.867685,0.134682,1.731719
-40.902453,0.186010,1.731719
-40.937221,0.237338,1.731719
-40.971989,0.288666,1.712624
-41.005109,0.340677,1.712624
-41.039877,0.392005,1.731719
-41.074645,0.443333,1.731719
-41.111077,0.493972,1.712624
-41.150029,0.543568,1.731719
-41.184797,0.594896,1.731719
-41.219565,0.646224,1.731719
-41.260140,0.695147,1.712624
-41.294948,0.746458,1.712624
-41.329716,0.797786,1.731719
-41.364484,0.849114,1.731719
-41.400923,0.899750,1.712624
-41.439868,0.949349,1.731719
-41.474636,1.000677,1.731719
-41.509404,1.052005,1.731719
-41.549987,1.100924,1.712624
-41.584787,1.152239,1.731719
-41.619555,1.203567,1.731719
-41.654323,1.254895,1.712624
-41.687443,1.306906,1.712624
-41.722211,1.358234,1.731719
-41.756980,1.409562,1.693528
-41.791748,1.460890,1.712624
-41.832338,1.509807,1.712624
-41.867131,1.561125,1.731719
-41.901899,1.612453,1.731719
-41.939994,1.662403,1.712624
-41.977282,1.712687,1.712624
-42.012050,1.764015,1.731719
-42.046819,1.815343,1.693528
-42.081587,1.866671,1.712624
-42.122185,1.915585,1.712624
-42.156970,1.966906,1.731719
-42.191738,2.018234,1.731719
-42.229841,2.068181,1.712624
-42.267121,2.118468,1.712624
-42.301889,2.169796,1.731719
-42.336658,2.221124,1.693528
-42.371426,2.272452,1.712624
-42.412032,2.321362,1.712624
-42.446809,2.372687,1.731719
-42.481577,2.424015,1.731719
-42.519687,2.473959,1.712624
-42.556960,2.524249,1.712624
-42.591728,2.575577,1.731719
-42.626496,2.626905,1.693528
-42.661265,2.678234,1.712624
-42.701879,2.727140,1.712624
-42.736648,2.778468,1.731719
-42.771416,2.829796,1.731719
-42.809534,2.879736,1.712624
