#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
36.7920251,-52.1201869,18.7758400,2.0803518,0.0001164,8.4999676,0.0000002
36.9919817,-52.2177254,18.9503933,2.0803723,0.0000881,8.4999676,0.0000003
37.1919384,-52.3152670,19.1249449,2.0803872,0.0000615,8.4999676,0.0000003
37.3918950,-52.4128108,19.2994954,2.0803970,0.0000370,8.4999676,0.0000003
37.5918517,-52.5103559,19.4740451,2.0804022,0.0000147,8.4999676,0.0000003
37.7918084,-52.6079015,19.6485945,2.0804031,-0.0000053,8.4999676,0.0000003
37.9917650,-52.7054469,19.8231440,2.0804002,-0.0000229,8.4999676,0.0000003
38.1917217,-52.8029916,19.9976940,2.0803941,-0.0000381,8.4999676,0.0000003
38.3916783,-52.9005349,20.1722447,2.0803851,-0.0000511,8.4999676,0.0000003
38.5916350,-52.9980765,20.3467964,2.0803738,-0.0000618,8.4999676,0.0000003
38.7915916,-53.0956159,20.5213493,2.0803606,-0.0000705,8.4999676,0.0000003
38.9915483,-53.1931528,20.6959036,2.0803458,-0.0000773,8.4999676,0.0000003
39.1915050,-53.2906871,20.8704594,2.0803298,-0.0000824,8.4999676,0.0000003
39.3914616,-53.3882185,21.0450168,2.0803130,-0.0000858,8.4999676,0.0000003
39.5914183,-53.4857470,21.2195759,2.0802956,-0.0000879,8.4999676,0.0000003
39.7913749,-53.5832723,21.3941368,2.0802779,-0.0000889,8.4999677,0.0000003
39.9913316,-53.6807946,21.5686994,2.0802601,-0.0000889,8.4999677,0.0000003
40.1912883,-53.7783138,21.7432637,2.0802424,-0.0000881,8.4999677,0.0000004
40.3912449,-53.8758299,21.9178297,2.0802249,-0.0000869,8.4999677,0.0000004
40.5912016,-53.9733430,22.0923975,2.0802077,-0.0000854,8.4999677,0.0000004
40.7911582,-54.0708532,22.2669669,2.0801908,-0.0000839,8.4999677,0.0000004
40.9911149,-54.1683604,22.4415380,2.0801741,-0.0000826,8.4999677,0.0000004
41.1910715,-54.2658647,22.6161107,2.0801577,-0.0000818,8.4999677,0.0000004
41.3910282,-54.3633662,22.7906850,2.0801414,-0.0000818,8.4999677,0.0000004
41.5909849,-54.4608648,22.9652610,2.0801249,-0.0000830,8.4999677,0.0000004
41.7909415,-54.5583605,23.1398385,2.0801081,-0.0000852,8.4999677,0.0000004
41.9908982,-54.6558533,23.3144178,2.0800905,-0.0000906,8.4999678,0.0000004
42.1908548,-54.7533429,23.4889989,2.0800722,-0.0000943,8.4999678,0.0000004
42.3908115,-54.8508290,23.6635819,2.0800476,-0.0001561,8.4999678,0.0000004
42.5907682,-54.9483089,23.8381684,2.0799970,-0.0003419,8.4999678,0.0000004
42.7907248,-55.0457791,24.0127605,2.0799496,-0.0001340,8.4999678,0.0000004
42.9906815,-55.1432435,24.1873557,2.0799238,-0.0001240,8.4999678,0.0000004
43.1906381,-55.2407031,24.3619529,2.0798983,-0.0001313,8.4999678,0.0000003
43.3905948,-55.3381582,24.5365527,2.0798708,-0.0001437,8.4999678,0.0000002
43.5905514,-55.4356083,24.7111554,2.0798405,-0.0001596,8.4999678,0.0000002
43.7905081,-55.5330528,24.8857614,2.0798066,-0.0001797,8.4999678,0.0000001
43.9904648,-55.6304911,25.0603709,2.0797682,-0.0002041,8.4999678,0.0000001
44.1904214,-55.7279223,25.2349845,2.0797246,-0.0002330,8.4999678,0.0000000
44.3903781,-55.8253454,25.4096028,2.0796747,-0.0002664,8.4999678,-0.0000001
44.5903347,-55.9227593,25.5842264,2.0796176,-0.0003043,8.4999678,-0.0000001
44.7902914,-56.0201625,25.7588560,2.0795526,-0.0003464,8.4999678,-0.0000002
44.9902480,-56.1175537,25.9334924,2.0794788,-0.0003922,8.4999678,-0.0000002
45.1902047,-56.2149312,26.1081366,2.0793955,-0.0004410,8.4999678,-0.0000003
45.3901614,-56.3122934,26.2827894,2.0793023,-0.0004920,8.4999678,-0.0000004
45.5901180,-56.4096384,26.4574518,2.0791987,-0.0005439,8.4999678,-0.0000004
45.7900747,-56.5069644,26.6321249,2.0790848,-0.0005951,8.4999678,-0.0000005
45.9900313,-56.6042697,26.8068096,2.0789610,-0.0006437,8.4999678,-0.0000006
46.1899880,-56.7015525,26.9815068,2.0788278,-0.0006873,8.4999678,-0.0000006
46.3899447,-56.7988113,27.1562174,2.0786867,-0.0007233,8.4999678,-0.0000007
46.5899013,-56.8960449,27.3309420,2.0785394,-0.0007483,8.4999677,-0.0000007
46.7898580,-56.9932524,27.5056811,2.0783885,-0.0007588,8.4999677,-0.0000008
46.9898146,-57.0904334,27.6804349,2.0782373,-0.0007503,8.4999677,-0.0000008
47.1897713,-57.1875883,27.8552032,2.0780901,-0.0007183,8.4999677,-0.0000009
47.3897279,-57.2847181,28.0299853,2.0779520,-0.0006576,8.4999677,-0.0000009
