#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
14.1978712,-28.2257980,36.6272786,2.6655780,0.0235391,8.4999664,0.0000025
14.3978412,-28.4037430,36.7185166,2.6699267,0.0199619,8.4999665,0.0000024
14.5978112,-28.5820523,36.8090438,2.6735698,0.0164876,8.4999665,0.0000023
14.7977812,-28.7606607,36.8989826,2.6765334,0.0131662,8.4999666,0.0000023
14.9977512,-28.9395071,36.9884506,2.6788518,0.0100330,8.4999666,0.0000024
15.1977212,-29.1185222,37.0775530,2.6805655,0.0071182,8.4999667,0.0000026
15.3976913,-29.2976623,37.1663983,2.6817184,0.0044310,8.4999667,0.0000028
15.5976613,-29.4768815,37.2550837,2.6823568,0.0019783,8.4999668,0.0000031
15.7976313,-29.6561363,37.3436974,2.6825280,-0.0002363,8.4999669,0.0000033
15.9976013,-29.8353874,37.4323186,2.6822800,-0.0022107,8.4999670,0.0000036
16.1975713,-30.0146000,37.5210185,2.6816609,-0.0039436,8.4999670,0.0000039
16.3975413,-30.1937434,37.6098591,2.6807194,-0.0054325,8.4999671,0.0000041
16.5975114,-30.3727910,37.6988937,2.6795047,-0.0066727,8.4999672,0.0000043
16.7974814,-30.5517205,37.7881667,2.6780671,-0.0076568,8.4999673,0.0000045
16.9974514,-30.7305141,37.8777132,2.6764590,-0.0083738,8.4999674,0.0000046
17.1974214,-30.9091585,37.9675586,2.6747352,-0.0088084,8.4999675,0.0000047
17.3973914,-31.0876457,38.0577183,2.6729542,-0.0089411,8.4999677,0.0000047
17.5973614,-31.2659727,38.1481967,2.6711785,-0.0087479,8.4999678,0.0000046
17.7973315,-31.4441427,38.2389867,2.6694762,-0.0082005,8.4999679,0.0000045
17.9973015,-31.6221654,38.3300686,2.6679213,-0.0072670,8.4999680,0.0000043
18.1972715,-31.8000576,38.4214089,2.6665946,-0.0059121,8.4999681,0.0000040
18.3972415,-31.9778440,38.5129592,2.6655842,-0.0040989,8.4999682,0.0000038
18.5972115,-32.1555579,38.6046550,2.6649859,-0.0017897,8.4999683,0.0000035
18.7971815,-32.3332417,38.6964139,2.6649028,0.0010522,8.4999683,0.0000033
18.9971516,-32.5109478,38.7881347,2.6654455,0.0044611,8.4999684,0.0000032
