#x_m,y_m,w_tr
-9.656481,-23.039783,2.039402
-9.604566,-23.054083,2.022649
-9.555066,-23.074214,2.056155
-9.503919,-23.090365,2.039402
-9.454203,-23.109975,1.988351
-9.405250,-23.131425,2.039402
-9.355976,-23.152099,2.022649
-9.307022,-23.173549,2.056155
-9.258069,-23.194999,2.039402
-9.208795,-23.215673,2.022649
-9.159842,-23.237123,2.056155
-9.110567,-23.257798,2.039402
-9.061614,-23.279248,2.107470
-9.010678,-23.295909,2.056155
-8.958763,-23.310209,2.039402
-8.909162,-23.330096,2.107470
-8.858115,-23.346491,2.056155
-8.806201,-23.360791,2.039402
-8.752738,-23.371354,2.107470
-8.700612,-23.385143,2.090980
-8.648697,-23.399443,2.056155
-8.597222,-23.414805,2.039402
-8.545854,-23.430424,2.107470
-8.493939,-23.444724,2.056155
-8.442024,-23.459024,2.039402
-8.390656,-23.474642,2.107734
-8.338952,-23.489453,2.090980
-8.287038,-23.503753,2.056155
-8.235669,-23.519372,2.107470
-8.183856,-23.533917,2.107734
-8.131941,-23.548217,2.090980
-8.080026,-23.562517,2.056155
-8.028658,-23.578136,2.107734
-7.976743,-23.592436,2.107470
-7.924828,-23.606736,2.056155
-7.873460,-23.622354,2.090980
-7.821545,-23.636654,2.107734
-7.769630,-23.650954,2.056155
-7.717716,-23.665254,2.039402
-7.664379,-23.676121,2.107734
-7.611797,-23.688809,2.090980
-7.559882,-23.703109,2.056155
-7.506435,-23.713710,2.039402
-7.453963,-23.726665,2.107470
-7.402048,-23.740965,2.056155
-7.350228,-23.755493,2.039402
-7.300828,-23.775864,2.107734
-7.249580,-23.791775,2.090980
-7.197666,-23.806075,2.056155
-7.146281,-23.821656,2.107470
-7.094913,-23.837274,2.107734
-7.042998,-23.851574,2.090980
-6.990989,-23.865646,2.056155
-6.937526,-23.876209,2.107734
-6.885611,-23.890509,2.107470
-6.833696,-23.904809,2.056155
-6.782328,-23.920427,2.090980
-6.730424,-23.934754,2.107734
-6.678509,-23.949054,2.090980
-6.626595,-23.963354,2.056155
-6.575226,-23.978973,2.107470
-6.523311,-23.993273,2.107734
-6.471397,-24.007573,2.090980
-6.418405,-24.019273,2.107734
-6.365478,-24.031128,2.107470
-6.313563,-24.045428,2.056155
-6.261648,-24.059728,2.039402
-6.210280,-24.075346,2.107734
-6.158365,-24.089646,2.090980
-6.106450,-24.103946,2.056155
-6.054610,-24.118427,2.039402
-6.003242,-24.134046,2.107470
-5.951327,-24.148346,2.056155
-5.899597,-24.163092,2.039402
-5.848229,-24.178711,2.107734
-5.796314,-24.193011,2.090980
-5.744399,-24.207311,2.056155
-5.693031,-24.222930,2.107470
-5.641583,-24.238356,2.107470
-5.589668,-24.252656,2.056155
-5.538299,-24.268275,2.039402
-5.486741,-24.283436,2.107734
-5.434826,-24.297736,2.090980
-5.382912,-24.312036,2.056155
-5.331543,-24.327654,2.107470
-5.279628,-24.341954,2.107470
-5.227713,-24.356254,2.056155
-5.176345,-24.371873,2.090980
-5.124430,-24.386173,2.107734
-5.072515,-24.400473,2.090980
-5.020601,-24.414773,2.056155
-4.969232,-24.430391,2.107470
-4.917317,-24.444691,2.056155
-4.865403,-24.458991,2.039402
-4.814034,-24.474610,2.107734
-4.762119,-24.488910,2.090980
-4.710205,-24.503210,2.056155
-4.658290,-24.517510,2.039402
-4.606921,-24.533128,2.107470
-4.555007,-24.547428,2.056155
-4.503092,-24.561728,2.039402
-4.451723,-24.577347,2.107734
-4.399808,-24.591647,2.090980
-4.347894,-24.605947,2.056155
-4.296365,-24.621178,2.107470
-4.244996,-24.636797,2.107470
-4.193081,-24.651097,2.056155
-4.141662,-24.666594,2.039402
-4.090294,-24.682212,2.107734
-4.038379,-24.696512,2.090980
-3.987070,-24.712275,2.056155
-3.937732,-24.732794,2.107470
-3.885973,-24.747471,2.107470
-3.834058,-24.761771,2.056155
-3.782689,-24.777389,2.090980
-3.730820,-24.791800,2.107734
-3.678906,-24.806100,2.090980
-3.627537,-24.821718,2.056155
-3.575622,-24.836018,2.107470
-3.523708,-24.850318,2.107470
-3.471793,-24.864618,2.056155
-3.420424,-24.880237,2.090980
-3.368510,-24.894537,2.107470
-3.316595,-24.908837,2.056155
-3.265226,-24.924455,2.107470
-3.213312,-24.938755,2.090980
-3.161397,-24.953055,2.056155
-3.109482,-24.967355,2.039402
-3.058114,-24.982974,2.107470
-3.006199,-24.997274,2.056155
-2.954284,-25.011574,2.039402
-2.900821,-25.022137,2.107734
-2.848515,-25.035492,2.090980
-2.796601,-25.049792,2.056155
-2.744946,-25.064721,2.039402
-2.693578,-25.080339,2.107470
-2.641663,-25.094639,2.056155
-2.589748,-25.108939,2.039402
-2.538380,-25.124558,2.107734
-2.486856,-25.139803,2.090980
-2.434941,-25.154103,2.056155
-2.383573,-25.169721,2.039402
-2.331939,-25.184700,2.107734
-2.280024,-25.199000,2.090980
-2.228110,-25.213300,2.056155
-2.176741,-25.228918,2.107734
-2.124826,-25.243218,2.107470
-2.072912,-25.257518,2.056155
-2.021543,-25.273137,2.090980
-1.969628,-25.287437,2.107734
-1.917714,-25.301737,2.090980
-1.865799,-25.316037,2.056155
-1.814430,-25.331655,2.107734
-1.762516,-25.345955,2.090980
-1.710601,-25.360255,2.056155
-1.657333,-25.371290,2.107734
-1.602588,-25.378755,2.107470
-1.550262,-25.392063,2.056155
-1.498347,-25.406363,2.039402
-1.446979,-25.421981,2.107734
-1.395064,-25.436281,2.090980
-1.343149,-25.450581,2.056155
-1.291585,-25.465729,2.039402
-1.242311,-25.486403,2.107734
-1.190807,-25.501695,2.090980
-1.138892,-25.515995,2.056155
-1.085430,-25.526558,2.107734
-1.033515,-25.540858,2.107734
-0.981600,-25.555158,2.090980
-0.929334,-25.568611,2.056155
-0.875872,-25.579173,2.107734
-0.823957,-25.593473,2.107470
-0.772042,-25.607773,2.056155
-0.719341,-25.620174,2.039402
-0.666123,-25.631329,2.107734
-0.614208,-25.645629,2.090980
-0.562294,-25.659929,2.039402
-0.509156,-25.671276,2.107734
-0.456375,-25.683484,2.090980
-0.404460,-25.697784,2.056155
-0.352545,-25.712084,2.039402
-0.299082,-25.722647,2.107734
-0.246737,-25.735907,2.090980
-0.194822,-25.750207,2.056155
-0.143129,-25.765041,2.039402
-0.091760,-25.780660,2.107734
-0.039845,-25.794960,2.090980
0.012069,-25.809260,2.056155
0.063438,-25.824878,2.107734
0.114922,-25.840218,2.107734
0.166837,-25.854518,2.090980
0.218973,-25.868284,2.056155
0.272435,-25.878847,2.107734
0.324350,-25.893147,2.107734
0.376265,-25.907447,2.090980
0.428837,-25.920160,2.056155
0.482184,-25.931002,2.107734
0.534099,-25.945302,2.107470
0.586013,-25.959602,2.056155
0.639021,-25.971263,2.107734
0.691933,-25.983157,2.090980
0.743847,-25.997457,2.056155
0.795762,-26.011757,2.039402
0.849206,-26.022365,2.107734
0.901681,-26.035312,2.090980
0.953596,-26.049612,2.056155
1.005511,-26.063912,2.039402
1.058973,-26.074475,2.107734
1.111012,-26.088475,2.090980
1.162927,-26.102775,2.056155
1.214315,-26.118348,2.039402
1.265683,-26.133967,2.107734
1.317598,-26.148267,2.090980
1.369513,-26.162567,2.056155
1.420881,-26.178185,2.107734
1.472672,-26.192785,2.107734
1.524586,-26.207085,2.090980
1.577028,-26.220112,2.056155
1.630491,-26.230675,2.107734
1.682406,-26.244975,2.107734
1.734321,-26.259275,2.090980
1.787199,-26.271249,2.056155
1.840240,-26.282830,2.107734
1.892154,-26.297130,2.090980
1.944069,-26.311430,2.056155
1.997383,-26.322352,2.107734
2.049988,-26.334986,2.107470
2.101903,-26.349286,2.056155
2.153818,-26.363586,2.039402
2.207280,-26.374148,2.107734
2.259449,-26.387835,2.090980
2.311364,-26.402135,2.056155
2.363279,-26.416435,2.039402
2.416742,-26.426997,2.107734
2.468656,-26.441297,2.090980
2.520571,-26.455597,2.056155
2.571940,-26.471216,2.039402
2.623600,-26.486130,2.107734
2.675515,-26.500430,2.090980
2.727430,-26.514730,2.056155
2.778798,-26.530348,2.107734
2.830713,-26.544648,2.107734
2.882628,-26.558948,2.090980
2.933996,-26.574567,2.090980
2.985911,-26.588867,2.107734
3.037826,-26.603167,2.107470
3.089741,-26.617467,2.056155
3.141109,-26.633085,2.107734
3.193024,-26.647385,2.090980
3.244939,-26.661685,2.056155
3.298233,-26.672655,2.107470
3.350858,-26.685241,2.107734
3.402772,-26.699541,2.090980
