#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
178.3745468,-5.2801208,-36.5452286,2.7806937,-0.0000850,8.4999676,-0.0000001
178.5745183,-5.4672107,-36.4746135,2.7806763,-0.0000885,8.4999676,-0.0000001
178.7744898,-5.6542995,-36.4039950,2.7806583,-0.0000905,8.4999676,-0.0000001
178.9744612,-5.8413869,-36.3333732,2.7806402,-0.0000908,8.4999676,-0.0000001
179.1744327,-6.0284731,-36.2627480,2.7806221,-0.0000896,8.4999676,-0.0000001
179.3744042,-6.2155580,-36.1921194,2.7806044,-0.0000868,8.4999676,-0.0000001
179.5743756,-6.4026417,-36.1214876,2.7805875,-0.0000823,8.4999676,-0.0000001
179.7743471,-6.5897243,-36.0508527,2.7805716,-0.0000763,8.4999676,-0.0000001
179.9743186,-6.7768057,-35.9802150,2.7805571,-0.0000687,8.4999676,-0.0000001
180.1742900,-6.9638862,-35.9095747,2.7805442,-0.0000594,8.4999676,-0.0000001
180.3742615,-7.1509658,-35.8389322,2.7805334,-0.0000485,8.4999676,-0.0000001
180.5742330,-7.3380447,-35.7682879,2.7805249,-0.0000360,8.4999676,-0.0000001
180.7742044,-7.5251230,-35.6976422,2.7805191,-0.0000217,8.4999676,-0.0000001
180.9741759,-7.7122010,-35.6269958,2.7805163,-0.0000056,8.4999676,-0.0000000
181.1741474,-7.8992788,-35.5563492,2.7805170,0.0000123,8.4999676,-0.0000000
181.3741188,-8.0863568,-35.4857031,2.7805214,0.0000323,8.4999676,-0.0000000
181.5740903,-8.2734352,-35.4150582,2.7805300,0.0000546,8.4999676,0.0000000
181.7740617,-8.4605142,-35.3444154,2.7805433,0.0000793,8.4999676,0.0000000
181.9740332,-8.6475943,-35.2737756,2.7805619,0.0001068,8.4999676,0.0000000
182.1740047,-8.8346759,-35.2031398,2.7805862,0.0001376,8.4999676,0.0000001
182.3739761,-9.0217593,-35.1325092,2.7806171,0.0001720,8.4999676,0.0000001
182.5739476,-9.2088450,-35.0618851,2.7806553,0.0002108,8.4999676,0.0000001
182.7739191,-9.3959335,-34.9912689,2.7807017,0.0002547,8.4999676,0.0000001
182.9738905,-9.5830255,-34.9206624,2.7807575,0.0003046,8.4999676,0.0000002
183.1738620,-9.7701217,-34.8500673,2.7808240,0.0003616,8.4999676,0.0000002
183.3738335,-9.9572227,-34.7794859,2.7809026,0.0004268,8.4999676,0.0000002
183.5738049,-10.1443296,-34.7089205,2.7809953,0.0005026,8.4999676,0.0000002
183.7737764,-10.3314432,-34.6383741,2.7811041,0.0005876,8.4999676,0.0000003
183.9737479,-10.5185650,-34.5678498,2.7812318,0.0006945,8.4999676,0.0000003
184.1737193,-10.7056959,-34.4973516,2.7813806,0.0007886,8.4999676,0.0000004
184.3736908,-10.8928383,-34.4268834,2.7815559,0.0009905,8.4999676,0.0000005
184.5736623,-11.0799928,-34.3564501,2.7817282,0.0006066,8.4999676,0.0000008
184.7736337,-11.2671515,-34.2860425,2.7818206,0.0003736,8.4999677,0.0000009
184.9736052,-11.4543164,-34.2156523,2.7819401,0.0009339,8.4999677,0.0000010
185.1735767,-11.6414965,-34.1452921,2.7821282,0.0008472,8.4999677,0.0000008
185.3735481,-11.8286895,-34.0749634,2.7822798,0.0006715,8.4999677,0.0000007
185.5735196,-12.0158926,-34.0046595,2.7823958,0.0004879,8.4999677,0.0000005
185.7734911,-12.2031035,-33.9343735,2.7824764,0.0003182,8.4999678,0.0000003
185.9734625,-12.3903198,-33.8640994,2.7825255,0.0001740,8.4999678,0.0000001
186.1734340,-12.5775381,-33.7938322,2.7825495,0.0000683,8.4999678,-0.0000001
186.3734054,-12.7647565,-33.7235681,2.7825572,0.0000124,8.4999678,-0.0000002
186.5733769,-12.9519742,-33.6533052,2.7825596,0.0000174,8.4999678,-0.0000004
186.7733484,-13.1391915,-33.5830435,2.7825698,0.0000931,8.4999677,-0.0000005
186.9733198,-13.3264092,-33.5127860,2.7826029,0.0002481,8.4999677,-0.0000006
187.1732913,-13.5136297,-33.4425384,2.7826753,0.0004893,8.4999677,-0.0000007
187.3732628,-13.7008563,-33.3723098,2.7828049,0.0008216,8.4999677,-0.0000008
187.5732342,-13.8880938,-33.3021126,2.7830102,0.0012478,8.4999677,-0.0000008
187.7732057,-14.0753481,-33.2319626,2.7833100,0.0017677,8.4999677,-0.0000008
187.9731772,-14.2626265,-33.1618793,2.7837228,0.0023785,8.4999676,-0.0000008
188.1731486,-14.4499378,-33.0918856,2.7842664,0.0030742,8.4999676,-0.0000007
188.3731201,-14.6372916,-33.0220074,2.7849567,0.0038454,8.4999676,-0.0000006
188.5730916,-14.8246988,-32.9522735,2.7858078,0.0046793,8.4999676,-0.0000005
188.7730630,-15.0121710,-32.8827152,2.7868306,0.0055599,8.4999676,-0.0000004
188.9730345,-15.1997204,-32.8133653,2.7880326,0.0064676,8.4999676,-0.0000003
189.1730060,-15.3873598,-32.7442579,2.7894172,0.0073798,8.4999676,-0.0000001
189.3729774,-15.5751019,-32.6754271,2.7909825,0.0082724,8.4999676,0.0000000
189.5729489,-15.7629590,-32.6069062,2.7927227,0.0091146,8.4999676,0.0000002
189.7729204,-15.9509439,-32.5387265,2.7946249,0.0099874,8.4999676,0.0000004
189.9728918,-16.1390673,-32.4709225,2.7967453,0.0114713,8.4999676,0.0000006
190.1728633,-16.3273587,-32.4035495,2.7992704,0.0128957,8.4999676,0.0000008
190.3728347,-16.5158371,-32.3366377,2.8015575,0.0101909,8.4999676,0.0000007
190.5728062,-16.7044592,-32.2701143,2.8034601,0.0088104,8.4999676,0.0000004
190.7727777,-16.8931979,-32.2039216,2.8050539,0.0071194,8.4999676,0.0000001
190.9727491,-17.0820019,-32.1380045,2.8062616,0.0049733,8.4999676,-0.0000003
191.1727206,-17.2708361,-32.0722841,2.8069932,0.0023442,8.4999676,-0.0000005
191.3726921,-17.4597134,-32.0066451,2.8071577,-0.0007379,8.4999676,-0.0000006
191.5726635,-17.6485925,-31.9409723,2.8066634,-0.0042781,8.4999676,-0.0000005
191.7726350,-17.8374253,-31.8751330,2.8054173,-0.0082834,8.4999676,0.0000000
