#x_m,y_m,w_tr
18.172036,-0.288417,1.426155
18.223015,-0.299562,1.392155
18.273812,-0.311145,1.375419
18.326449,-0.318288,1.341946
18.379085,-0.325431,1.410209
18.429994,-0.336744,1.392155
18.479672,-0.351030,1.375419
18.529350,-0.365316,1.358682
18.580685,-0.375599,1.426946
18.633322,-0.382742,1.410209
18.685958,-0.389885,1.393473
18.738595,-0.397028,1.376736
18.792959,-0.400000,1.360000
18.847912,-0.401550,1.360000
18.900549,-0.408692,1.360000
18.953186,-0.415835,1.358682
19.005822,-0.422978,1.341946
19.058459,-0.430121,1.410209
19.111095,-0.437264,1.393473
19.163732,-0.444407,1.376736
19.217010,-0.450000,1.360000
19.270957,-0.446021,1.360000
19.323594,-0.438878,1.360000
19.376230,-0.431735,1.360000
19.428867,-0.424592,1.275000
19.481503,-0.417449,1.291736
19.534140,-0.410307,1.308473
19.586682,-0.402936,1.325209
19.638547,-0.393929,1.341946
19.691183,-0.386786,1.358682
19.743820,-0.379643,1.375419
19.796456,-0.372501,1.307155
19.848694,-0.364396,1.325209
19.898607,-0.350676,1.341946
19.948379,-0.336618,1.358682
19.998151,-0.322560,1.290419
20.047829,-0.308274,1.307155
20.097507,-0.293989,1.358419
20.147115,-0.279534,1.375419
20.194795,-0.260426,1.307155
20.242475,-0.241317,1.358419
20.289194,-0.219888,1.341946
20.336874,-0.200780,1.392155
20.382861,-0.177582,1.392155
20.426621,-0.149011,1.409682
20.470117,-0.119801,1.341946
20.513613,-0.090590,1.393209
20.557109,-0.061380,1.376736
20.599474,-0.029439,1.393209
20.640878,0.004822,1.409682
20.682282,0.039082,1.426155
20.723585,0.073585,1.426155
20.762897,0.112897,1.428000
20.802209,0.152209,1.428000
20.840170,0.192080,1.426155
20.874431,0.233484,1.376736
20.908692,0.274888,1.409682
20.942953,0.316292,1.393209
20.972736,0.359551,1.376736
21.001946,0.403047,1.393209
21.031156,0.446542,1.409682
21.059727,0.490303,1.358419
21.088938,0.533799,1.392155
21.117120,0.577721,1.341946
21.141279,0.623309,1.409682
21.169917,0.667042,1.358419
21.199127,0.710538,1.392155
21.224182,0.755755,1.341946
21.245611,0.802474,1.358419
21.269770,0.848062,1.307155
21.291199,0.894781,1.375419
21.311034,0.942160,1.358419
21.325254,0.991866,1.392155
21.339312,1.041638,1.375419
21.353597,1.091316,1.358419
21.367883,1.140994,1.307155
21.376883,1.192861,1.375419
21.384598,1.245260,1.358682
21.397930,1.295334,1.341946
21.412215,1.345012,1.307155
21.421046,1.396949,1.290419
21.428189,1.449585,1.358682
21.435332,1.502222,1.341946
21.442475,1.554858,1.325209
21.451482,1.606723,1.308473
21.459580,1.658964,1.291736
21.466722,1.711600,1.275000
21.473865,1.764237,1.275000
21.481008,1.816873,1.360000
21.488151,1.869510,1.360000
21.495294,1.922147,1.360000
21.500000,1.975792,1.360000
21.500000,2.031388,1.360000
21.500000,2.086983,1.360000
21.500000,2.142578,1.360000
21.498489,2.197547,1.360000
21.491362,2.250190,1.360000
21.484219,2.302827,1.360000
21.477076,2.355464,1.360000
21.469933,2.408100,1.275000
21.462790,2.460737,1.291736
21.455648,2.513373,1.308473
21.450016,2.566636,1.325209
21.450000,2.622224,1.341946
21.445494,2.675953,1.375419
21.438351,2.728590,1.392155
21.431208,2.781226,1.410209
21.424066,2.833863,1.341946
21.416923,2.886499,1.358682
21.409591,2.939058,1.375419
21.396643,2.989290,1.392155
21.386863,3.040834,1.410209
21.379720,3.093470,1.426946
21.372220,3.145959,1.358682
21.359103,3.196121,1.375419
21.344818,3.245799,1.392155
21.330721,3.295555,1.426155
21.321714,3.347419,1.375419
21.308429,3.397512,1.392155
21.294143,3.447189,1.426155
