#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
311.9989919,59.6207472,9.4813496,3.7585431,-0.0409087,8.4999682,-0.0000007
312.1989913,59.4571909,9.3661948,3.7521306,-0.0235081,8.4999681,-0.0000015
312.3989906,59.2931038,9.2518327,3.7489138,-0.0087452,8.4999681,-0.0000017
312.5989900,59.1288124,9.1377722,3.7484096,0.0037195,8.4999681,-0.0000012
312.7989893,58.9645778,9.0235821,3.7502484,0.0146376,8.4999680,-0.0000001
312.9989887,58.8006615,8.9089063,3.7541798,0.0246015,8.4999680,0.0000018
313.1989880,58.6373018,8.7934216,3.7600454,0.0339673,8.4999681,0.0000045
313.3989874,58.4747270,8.6768280,3.7677477,0.0429602,8.4999682,0.0000079
313.5989867,58.3131614,8.5588423,3.7772280,0.0517431,8.4999684,0.0000108
313.7989861,58.1528302,8.4391935,3.7884446,0.0602686,8.4999686,0.0000107
313.9989855,57.9939600,8.3176254,3.8013271,0.0683291,8.4999689,0.0000052
314.1989848,57.8367762,8.1939051,3.8157575,0.0756988,8.4999690,-0.0000080
314.3989842,57.6814985,8.0678321,3.8315693,0.0821011,8.4999688,-0.0000297
314.5989835,57.5283358,7.9392496,3.8485311,0.0871802,8.4999681,-0.0000591
314.7989829,57.3774745,7.8080540,3.8663381,0.0906110,8.4999667,-0.0000927
314.9989822,57.2290702,7.6742078,3.8846147,0.0919293,8.4999645,-0.0001217
315.1989816,57.0831380,7.5376577,3.9029393,0.0913078,8.4999617,-0.0001108
315.3989809,56.9395284,7.3982482,3.9214420,0.0939705,8.4999591,-0.0000168
315.5989803,56.7988139,7.2564253,3.9403507,0.0923785,8.4999587,0.0000515
315.7989796,56.6606858,7.1120122,3.9578929,0.0862182,8.4999599,0.0000643
315.9989790,56.5249838,6.9651304,3.9751966,0.0868032,8.4999614,0.0000619
316.1989783,56.3917931,6.8158527,3.9925712,0.0868940,8.4999629,0.0000516
316.3989777,56.2611893,6.6642577,4.0098690,0.0858005,8.4999641,0.0000408
316.5989771,56.1333611,6.5106460,4.0267309,0.0827192,8.4999650,0.0000325
316.7989764,56.0080476,6.3549024,4.0427868,0.0776198,8.4999658,0.0000257
316.9989758,55.8851321,6.1971982,4.0576590,0.0708665,8.4999664,0.0000203
317.1989751,55.7644411,6.0377416,4.0710717,0.0631037,8.4999669,0.0000163
317.3989745,55.6457585,5.8767559,4.0828905,0.0550384,8.4999673,0.0000131
317.5989738,55.5288481,5.7144605,4.0931123,0.0472209,8.4999676,0.0000106
317.7989732,55.4134720,5.5510590,4.1018214,0.0399557,8.4999678,0.0000086
317.9989725,55.2994036,5.3867339,4.1091409,0.0333351,8.4999680,0.0000067
318.1989719,55.1864323,5.2216464,4.1151981,0.0273232,8.4999682,0.0000050
318.3989712,55.0743642,5.0559399,4.1201061,0.0218275,8.4999683,0.0000034
318.5989706,54.9630207,4.8897431,4.1239577,0.0167430,8.4999684,0.0000019
318.7989699,54.8522352,4.7231738,4.1268250,0.0119715,8.4999684,0.0000003
318.9989693,54.7418509,4.5563413,4.1287618,0.0074277,8.4999684,-0.0000012
319.1989687,54.6317178,4.3893490,4.1298064,0.0030402,8.4999684,-0.0000027
319.3989680,54.5216906,4.2222958,4.1299838,-0.0012514,8.4999683,-0.0000042
319.5989674,54.4116265,4.0552774,4.1293084,-0.0054970,8.4999682,-0.0000056
319.7989667,54.3013836,3.8883874,4.1277852,-0.0097383,8.4999681,-0.0000069
319.9989661,54.1908199,3.7217184,4.1254118,-0.0140084,8.4999680,-0.0000080
320.1989654,54.0797917,3.5553630,4.1221801,-0.0183320,8.4999678,-0.0000089
320.3989648,53.9681542,3.3894152,4.1180775,-0.0227248,8.4999676,-0.0000093
320.5989641,53.8557605,3.2239718,4.1130894,-0.0271910,8.4999673,-0.0000091
320.7989635,53.7424637,3.0591342,4.1072002,-0.0317300,8.4999671,-0.0000080
320.9989628,53.6281166,2.8950093,4.1003984,-0.0363141,8.4999669,-0.0000058
321.1989622,53.5125763,2.7317137,4.0926685,-0.0409672,8.4999668,-0.0000023
321.3989615,53.3956979,2.5693635,4.0840166,-0.0458425,8.4999667,0.0000034
321.5989609,53.2773529,2.4081279,4.0741687,-0.0534367,8.4999668,0.0000106
321.7989603,53.1573673,2.2482729,4.0626207,-0.0597430,8.4999671,0.0000147
321.9989596,53.0354842,2.0898347,4.0506492,-0.0617043,8.4999674,0.0000108
322.1989590,52.9116073,1.9328640,4.0377221,-0.0676607,8.4999677,-0.0000025
322.3989583,52.7856185,1.7775827,4.0236017,-0.0735649,8.4999676,-0.0000228
322.5989577,52.6573477,1.6241549,4.0083344,-0.0790175,8.4999671,-0.0000469
322.7989570,52.5266577,1.4727569,3.9920485,-0.0837124,8.4999660,-0.0000690
322.9989564,52.3934423,1.3235524,3.9749183,-0.0874479,8.4999643,-0.0000739
323.1989557,52.2576522,1.1767086,3.9571568,-0.0900563,8.4999626,-0.0000147
323.3989551,52.1192758,1.0323623,3.9390029,-0.0913946,8.4999623,0.0000404
323.5989544,51.9782838,0.8905595,3.9207081,-0.0914011,8.4999632,0.0000376
323.7989538,51.8347217,0.7513480,3.9025470,-0.0899903,8.4999641,0.0000341
323.9989531,51.6886756,0.6147341,3.8848131,-0.0870811,8.4999649,0.0000278
324.1989525,51.5402707,0.4806770,3.8678062,-0.0826963,8.4999656,0.0000211
