#x_m,y_m,w_tr
-2.312687,11.169825,1.593445
-2.231451,11.204493,1.510511
-2.150316,11.239405,1.593445
-2.069080,11.274072,1.510511
-1.987945,11.308984,1.593445
-1.906708,11.343651,1.510511
-1.825573,11.378563,1.593445
-1.744337,11.413230,1.510511
-1.664120,11.450359,1.593445
-1.586137,11.492880,1.510511
-1.505749,11.529595,1.593445
-1.427937,11.572529,1.593445
-1.346700,11.607196,1.510511
-1.265566,11.642108,1.593445
-1.184329,11.676775,1.510511
-1.103194,11.711688,1.593445
-1.021958,11.746355,1.510511
-0.940823,11.781267,1.593445
-0.859586,11.815934,1.510511
-0.779129,11.852481,1.593445
-0.701378,11.895564,1.593445
-0.620749,11.931697,1.510511
-0.542999,11.974780,1.593445
-0.461763,12.009448,1.510511
-0.380628,12.044360,1.593445
-0.299391,12.079027,1.510511
-0.218256,12.113939,1.593445
-0.137028,12.148625,1.510511
-0.055893,12.183537,1.593445
0.025242,12.218450,1.510511
0.105941,12.254414,1.593445
0.183691,12.297498,1.593445
0.264561,12.333049,1.510511
0.342312,12.376132,1.593445
0.423548,12.410799,1.510511
0.504683,12.445711,1.593445
0.585842,12.480566,1.510511
0.666977,12.515478,1.593445
0.748111,12.550390,1.510511
0.829246,12.585302,1.593445
0.910381,12.620215,1.510511
0.991321,12.655597,1.593445
1.069072,12.698680,1.593445
1.150308,12.733347,1.510511
1.231443,12.768260,1.593445
1.312578,12.803172,1.510511
1.393713,12.838084,1.593445
1.474848,12.872996,1.510511
1.555983,12.907908,1.593445
1.637118,12.942820,1.510511
1.718128,12.978034,1.593445
1.795878,13.021117,1.510511
1.877013,13.056029,1.593445
1.954763,13.099112,1.593445
2.035782,13.134305,1.510511
2.116917,13.169217,1.593445
2.198052,13.204129,1.510511
2.279187,13.239041,1.593445
2.360322,13.273953,1.510511
2.441457,13.308865,1.593445
2.522592,13.343777,1.510511
2.603828,13.378444,1.593445
2.681578,13.421527,1.593445
2.762527,13.456888,1.510511
2.840278,13.499972,1.593445
2.921056,13.535746,1.510511
3.002190,13.570658,1.593445
3.083325,13.605570,1.510511
3.164475,13.640447,1.593445
3.245610,13.675359,1.510511
3.326846,13.710026,1.593445
3.407981,13.744938,1.510511
3.489218,13.779605,1.593445
3.566968,13.822689,1.593445
3.647676,13.858632,1.510511
3.725426,13.901715,1.593445
3.805963,13.938071,1.510511
3.887182,13.972780,1.593445
3.968317,14.007692,1.510511
4.049554,14.042359,1.593445
4.130688,14.077271,1.510511
4.211925,14.111938,1.593445
4.293060,14.146850,1.510511
4.374296,14.181517,1.510511
4.455431,14.216429,1.593445
4.536566,14.251341,1.510511
4.617802,14.286008,1.593445
4.698937,14.320921,1.510511
4.780174,14.355588,1.593445
4.861309,14.390500,1.510511
4.942545,14.425167,1.593445
5.020295,14.468250,1.510511
5.100864,14.504530,1.593445
5.178667,14.547486,1.593445
5.259064,14.584180,1.593445
5.337038,14.626722,1.593445
5.417264,14.663829,1.510511
5.498500,14.698496,1.593445
5.579635,14.733408,1.510511
5.660872,14.768075,1.593445
5.742007,14.802988,1.510511
5.823243,14.837655,1.593445
5.904378,14.872567,1.510511
5.985614,14.907234,1.593445
6.063659,14.949607,1.510511
6.143814,14.986883,1.593445
6.222030,15.028843,1.510511
6.302014,15.066533,1.593445
6.380401,15.108079,1.593445
6.460215,15.146182,1.510511
6.541451,15.180849,1.593445
6.622586,15.215761,1.510511
6.703822,15.250429,1.593445
6.784957,15.285341,1.510511
6.866194,15.320008,1.593445
6.947329,15.354920,1.510511
7.028565,15.389587,1.593445
7.107022,15.430965,1.510511
7.186765,15.469236,1.593445
7.265393,15.510201,1.510511
7.344965,15.548886,1.593445
7.423764,15.589437,1.593445
7.503165,15.628535,1.510511
7.584402,15.663202,1.593445
7.665537,15.698114,1.510511
7.746773,15.732782,1.593445
7.827908,15.767694,1.510511
7.909144,15.802361,1.593445
7.990279,15.837273,1.510511
8.071516,15.871940,1.593445
8.150385,15.912322,1.593445
8.229716,15.951589,1.510511
8.310952,15.986257,1.593445
8.392087,16.021169,1.510511
8.473323,16.055836,1.593445
8.554458,16.090748,1.510511
8.635695,16.125415,1.593445
8.716830,16.160327,1.593445
8.798066,16.194994,1.510511
8.879303,16.229661,1.593445
8.960437,16.264573,1.510511
9.041674,16.299241,1.593445
9.125550,16.327534,1.593445
9.208216,16.358750,1.510511
9.291921,16.387457,1.593445
9.377944,16.410568,1.593445
9.460167,16.442856,1.510511
9.544316,16.470491,1.593445
9.630339,16.493602,1.593445
9.716361,16.516714,1.510511
9.805741,16.531721,1.593445
9.894460,16.548325,1.593872
9.980483,16.571436,1.566795
10.070306,16.585371,1.510511
10.161116,16.596927,1.483435
10.251925,16.608483,1.566795
10.342735,16.620039,1.539719
10.433544,16.631594,1.512643
10.526445,16.638102,1.512643
10.619814,16.643479,1.512643
10.710623,16.655034,1.512643
10.801433,16.666590,1.512643
10.892242,16.678146,1.512643
10.979765,16.681767,1.650156
11.065788,16.681767,1.650156
11.151811,16.681767,1.650156
11.240061,16.676391,1.512643
11.330870,16.664835,1.512643
11.421680,16.653280,1.512643
11.512489,16.641724,1.512643
11.603778,16.631325,1.512643
11.694587,16.619769,1.512643
11.785397,16.608214,1.539719
11.876206,16.596658,1.456359
11.966534,16.583939,1.483435
12.052861,16.561563,1.510511
12.138574,16.537702,1.593445
12.223093,16.510961,1.483435
12.308977,16.487513,1.510511
12.390861,16.454409,1.593445
12.472097,16.419742,1.483435
12.549847,16.376658,1.510511
12.627598,16.333575,1.483861
12.704358,16.288102,1.566795
12.782109,16.245019,1.510511
12.856474,16.193765,1.540145
12.932277,16.145979,1.540145
13.006675,16.094802,1.540145
13.081040,16.043548,1.483861
13.154250,15.991814,1.540145
13.218050,15.931394,1.540145
13.281168,15.869327,1.540145
13.347362,15.814688,1.540145
13.411791,15.756444,1.540145
13.466430,15.690249,1.540145
13.521069,15.624055,1.540145
13.576864,15.558339,1.540145
13.639674,15.495529,1.540145
13.696402,15.429585,1.540145
13.747657,15.355219,1.566795
13.799240,15.280989,1.483861
13.860099,15.213470,1.510511
13.922909,15.150660,1.540145
13.985719,15.087850,1.540145
14.047380,15.024564,1.540145
14.107793,14.960761,1.540145
14.169868,14.897646,1.540145
14.224507,14.831451,1.510511
14.277845,14.762117,1.540145
14.332484,14.695923,1.566795
14.387123,14.629728,1.540145
14.434740,14.560625,1.510511
14.489379,14.494430,1.540145
14.544753,14.428540,1.540145
14.600311,14.362726,1.540145
14.654816,14.296209,1.540145
14.708903,14.228682,1.566795
14.763542,14.162488,1.483861
14.826352,14.099678,1.540145
14.884636,14.034993,1.540145
14.939275,13.968798,1.540145
14.997054,13.903904,1.540145
15.051693,13.837710,1.540145
15.105031,13.768375,1.457211
15.159670,13.702181,1.540145
15.211023,13.634625,1.540145
15.262017,13.566921,1.510511
15.316656,13.500726,1.540145
15.375408,13.436235,1.540145
15.438218,13.373425,1.483861
15.499496,13.306916,1.566795
15.552090,13.233105,1.540145
15.606629,13.160100,1.540145
15.666055,13.089119,1.540145
15.725480,13.018138,1.540145
15.782286,12.946071,1.566795
15.833540,12.871706,1.540145
15.882588,12.796426,1.540145
15.932503,12.721505,1.510511
15.983757,12.647139,1.540145
16.035012,12.572774,1.540145
16.086266,12.498408,1.540145
16.140140,12.425127,1.483861
16.199566,12.354146,1.510511
16.257344,12.282483,1.540145
16.316770,12.211502,1.566795
16.376195,12.140521,1.483861
16.435620,12.069539,1.540145
16.495046,11.998558,1.540145
16.546300,11.924193,1.540145
16.597555,11.849827,1.540145
16.652662,11.777057,1.566795
16.712088,11.706076,1.483861
16.771513,11.635095,1.510511
16.827751,11.562793,1.540145
16.879005,11.488428,1.457211
16.938431,11.417446,1.483861
16.997856,11.346465,1.540145
17.057282,11.275484,1.510511
17.108536,11.201118,1.540145
17.159790,11.126753,1.540145
17.214232,11.053707,1.540145
17.273658,10.982726,1.483861
17.333083,10.911745,1.510511
17.389987,10.839719,1.540145
17.441241,10.765353,1.457211
17.500666,10.694372,1.566795
17.560092,10.623391,1.540145
17.619517,10.552410,1.510511
17.678943,10.481429,1.540145
17.732300,10.407934,1.566795
17.786077,10.334613,1.540145
17.839848,10.261290,1.510511
17.891102,10.186924,1.540145
17.942357,10.112558,1.566795
17.993611,10.038192,1.483861
18.044865,9.963827,1.510511
18.102187,9.891974,1.510511
18.153442,9.817609,1.540145
18.210350,9.745585,1.566795
18.269776,9.674604,1.540145
18.329201,9.603623,1.510511
18.388626,9.532641,1.540145
18.444962,9.460381,1.566795
18.496217,9.386015,1.483861
18.555642,9.315034,1.510511
18.614291,9.243731,1.510511
18.665545,9.169365,1.483861
18.716799,9.094999,1.566795
18.768054,9.020633,1.540145
18.822398,8.947547,1.510511
18.881823,8.876566,1.540145
18.936926,8.803794,1.566795
18.988957,8.729750,1.540145
19.048382,8.658769,1.510511
19.107808,8.587788,1.540145
19.167122,8.516761,1.483861
19.218376,8.442395,1.566795
